isBeaOn,isCarolOn,isMichaelOn,isNoon,giselleKnowsHowToPlay,michaelKnowsHowToPlay,carolKnowsHowToPlay,beaKnowsHowToPlay,champion1,champion2,champion3,champion4,champion5,weWon,isGadoOn,weHaveTank,weHaveAdc,weHaveApc,weHaveBruiser,weHaveSup,gameDateMilliseconds,matchId
False,False,True,False,0.0,1.0,2.0,2.0,Soraka,Twitch,Katarina,Blitzcrank,Graves,False,False,False,True,False,True,True,1709685464487.0,BR1_2903834172
True,False,True,False,0.0,0.0,2.0,0.0,Shaco,Talon,Leblanc,Samira,Rumble,False,False,False,True,False,False,False,1709739672223.0,BR1_2904032535
True,False,True,False,0.0,1.0,2.0,0.0,Kayle,Velkoz,Twitch,Renekton,Lucian,False,False,False,True,False,True,False,1709738198263.0,BR1_2904018728
False,False,True,False,0.0,0.0,2.0,2.0,Samira,Ahri,Belveth,Sona,Jhin,True,False,False,True,True,False,True,1709736488013.0,BR1_2904018051
True,False,True,False,0.0,0.0,2.0,0.0,Caitlyn,Lux,Janna,Jax,TwistedFate,True,False,False,True,True,False,True,1709776917371.0,BR1_2904304233
True,False,True,False,0.0,1.0,2.0,0.0,Zyra,Velkoz,Ezreal,Xayah,Akali,True,False,False,True,False,False,False,1709775607696.0,BR1_2904288518
True,False,True,False,0.0,0.0,2.0,0.0,Lux,Teemo,Graves,Sivir,Chogath,False,False,True,True,True,True,False,1709774175461.0,BR1_2904272742
True,False,True,False,0.0,0.0,2.0,0.0,Maokai,Pantheon,Varus,Smolder,Nautilus,False,False,True,True,False,True,True,1709772721575.0,BR1_2904256928
False,False,False,True,1.0,2.0,2.0,2.0,Malphite,Aatrox,TwistedFate,Gwen,Warwick,False,False,True,False,True,True,False,1709769065185.0,BR1_2904224292
False,False,False,True,1.0,2.0,2.0,2.0,Malphite,Senna,Ezreal,Xayah,Blitzcrank,False,False,True,True,False,False,True,1709767716653.0,BR1_2904205542
False,False,True,True,0.0,1.0,2.0,2.0,Caitlyn,JarvanIV,Rengar,Katarina,Draven,True,False,False,True,False,True,False,1710451269330.0,BR1_2907830593
False,False,True,False,0.0,0.0,2.0,2.0,Akali,Amumu,Shaco,Tryndamere,Ashe,False,False,True,True,False,False,False,1710449558093.0,BR1_2907821231
True,False,True,False,1.0,0.0,2.0,1.0,Talon,Nidalee,Lux,Draven,Jinx,False,False,False,True,True,False,False,1710298348791.0,BR1_2907204734
True,True,True,False,0.0,1.0,0.0,0.0,Brand,Soraka,Rell,Evelynn,Riven,False,False,True,False,True,True,True,1710296739028.0,BR1_2907202556
True,False,True,False,1.0,1.0,2.0,1.0,Mordekaiser,Sona,Seraphine,Xayah,Ekko,True,False,False,True,True,True,True,1710272162861.0,BR1_2906995210
True,False,True,False,0.0,0.0,2.0,1.0,Jax,Riven,Lulu,Leblanc,Heimerdinger,False,False,False,False,True,True,True,1710270635707.0,BR1_2906986227
True,False,True,False,1.0,1.0,2.0,0.0,Ziggs,Orianna,Quinn,Xayah,Yasuo,True,False,False,True,True,False,False,1710262863417.0,BR1_2906948132
True,False,True,False,1.0,1.0,2.0,1.0,Jhin,Diana,Lux,Xayah,Ezreal,False,False,False,True,True,True,False,1710261639502.0,BR1_2906943149
True,False,True,False,0.0,0.0,2.0,1.0,Jax,Darius,Jinx,Soraka,Irelia,True,False,False,True,False,True,True,1710260350783.0,BR1_2906932616
